Price,GPU,Core Clock,Boost Clock,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power
159.99,GeForce GTX 1650,1710 MHz,NULL,896,NULL,4GB,GDDR5,128-Bit,NULL
79.99,GeForce GT 1030,1266 MHz (OC mode)1228 MHz (Gaming mode - Default),1506 MHz (OC mode)1468 MHz (Gaming mode - Default),384,NULL,2GB,GDDR5,64-Bit,30W
84.99,GeForce GT 1030,1278 MHz (OC Mode)1252 MHz (Gaming Mode),1531 MHz (OC Mode)1506 MHz (Gaming Mode),384,NULL,2GB,GDDR5,64-Bit,30W
149.99,GeForce GTX 1650,1485 MHz,OC Mode: 1710 MHzGaming Mode: 1680 MHz,896,NULL,4GB,GDDR5,128-Bit,75W
44.99,GeForce GT 710,954 MHz,NULL,192,NULL,1GB,GDDR5,32-Bit,20W
214.99,GeForce GTX 1660,OC Mode: 1530 MHz Gaming Mode: 1500 MHz,OC Mode: 1845 MHz Gaming Mode: 1815 MHz,1408,NULL,6GB,GDDR5,192-Bit,120W
379.99,GeForce RTX 2060,NULL,1755 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
529.99,GeForce RTX 2070 SUPER,1605 MHz,1785 MHz,2560,NULL,8GB,GDDR6,256-Bit,235W
159.99,GeForce GTX 1650,NULL,1725 MHz,896,NULL,4GB,GDDR6,128-Bit,85W
229.99,GeForce GTX 1660 SUPER,NULL,1785 MHz,1408,NULL,6GB,GDDR6,192-Bit,120W
169.99,GeForce GTX 1650,1635 MHz,NULL,896,NULL,4GB,GDDR6,128-Bit,85W
539.99,GeForce RTX 2070 SUPER,NULL,1770 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
189.99,GeForce GTX 1650 SUPER,NULL,1755 MHz,1280,NULL,4GB,GDDR6,128-Bit,100W
209.99,GeForce GTX 1660,OC Mode: 1530 MHz Gaming Mode: 1500 MHz,OC Mode: 1830 MHz Gaming Mode: 1800 MHz,1408,NULL,6GB,GDDR5,192-Bit,120W
229.99,GeForce GTX 1660,NULL,1785 MHz,1408,NULL,6GB,GDDR5,192-Bit,160W
629.99,GeForce RTX 2070 SUPER,NULL,1815 MHz,2560,NULL,8GB,GDDR6,256-Bit,235W
169.99,GeForce GTX 1650,1710 MHz,NULL,896,NULL,4GB,GDDR6,128-Bit,85W
179.99,GeForce GTX 1650,NULL,1710 MHz,896,NULL,4GB,GDDR6,128-Bit,75W
239.99,GeForce GTX 1660,NULL,1830 MHz,1408,NULL,6GB,GDDR5,192-Bit,130W
369.99,GeForce RTX 2060,NULL,1755 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
159.99,GeForce GTX 1650,1815 MHz,NULL,896,NULL,4GB,GDDR6,128-Bit,85W
529.99,GeForce RTX 2070 SUPER,NULL,1770 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
239.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221.94,GeForce GTX 1660,NULL,1785 MHz,1408,NULL,6GB,GDDR5,192-Bit,130W
239.99,GeForce GTX 1660,NULL,1830 MHz,1408,NULL,6GB,GDDR5,192-Bit,130W
299.99,GeForce GTX 1660 Ti,NULL,1845 MHz,1536,NULL,6GB,GDDR6,192-Bit,130W
159.99,GeForce GTX 1650 SUPER,1740 MHz,NULL,1280,NULL,4GB,GDDR6,128-Bit,100W
157.99,GeForce GTX 1050 Ti,1290 MHz,1392 MHz,768,NULL,4GB,GDDR5,128-Bit,75W
159.99,GeForce GTX 1050 Ti,1316 MHz in OC Mode1290 MHz in Gaming,1430 MHz in OC Mode1392 MHz in Gaming,768,NULL,4GB,GDDR5,128-Bit,75W
520.00,GeForce GTX 980 Ti,1026 MHz,1114 MHz,NULL,2816 Stream Processors,6GB,GDDR5,384-Bit,260W
279.99,GeForce GTX 1660 Ti,NULL,1770 MHz,1536,NULL,6GB,GDDR6,192-Bit,130W
244.99,GeForce GTX 1660 SUPER,1530 MHz,OC Mode: 1860 MHzGaming Mode (Default): 1830 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
154.99,GeForce GTX 1650,NULL,1740 MHz,896,NULL,4GB,GDDR5,128-Bit,75W
169.99,GeForce GTX 1650,NULL,1860 MHz,896,NULL,4GB,GDDR5,128-Bit,85W
289.99,GeForce GTX 1660 Ti,NULL,1845 MHz,1536,NULL,6GB,GDDR6,192-Bit,130W
324.49,GTX 1660 Ti,1500 MHz,1770 MHz,1536,NULL,6GB,GDDR6,192-Bit,120W
174.99,GeForce GTX 1650,NULL,1620 MHz,896,NULL,4GB,GDDR6,128-Bit,75W
88.99,GeForce GT 1030,1290 MHz in OC Mode1265 MHz in Gaming Mode,1544 MHz in OC Mode1518 MHz in Gaming Mode,NULL,NULL,2GB,GDDR5,64-Bit,30W
157.38,GeForce GTX 1050 Ti,1341 MHz,1455 MHz,768,NULL,4GB,GDDR5,128-Bit,75W
169.99,GeForce GTX 1060,1506 MHz,1708 MHz,1152,NULL,3GB,GDDR5,192-Bit,120W
314.99,GeForce RTX 2060,Gaming Mode: 1365 MHz,OC Mode: 1710 MHz Gaming Mode: 1680 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
89.99,GeForce GT 1030,NULL,NULL,384,NULL,2GB,GDDR5,64-Bit,30W
179.99,GeForce GTX 1650 SUPER,NULL,1725 MHz,1280,NULL,4GB,GDDR6,128-Bit,100W
54.99,GeForce GT 710,954 MHz,NULL,192,NULL,2GB,DDR3,64-Bit,20W
84.97,GeForce GT 1030,1189 MHz,1430 MHz,384,NULL,2GB,DDR4,64-Bit,20W
179.99,GeForce GTX 1650,1650 MHz,NULL,896,NULL,4GB,GDDR6,128-Bit,NULL
89.99,GeForce GT 730,1006 MHz,NULL,NULL,NULL,2GB,GDDR5,64-Bit,50W
299.99,GeForce GTX 1660 Ti,NULL,1770 MHz,1536,NULL,6GB,GDDR6,192-Bit,120W
525.78,GeForce RTX 2060,1395 MHz (OC mode)1365 MHz (Gaming mode),1740 MHz (OC mode)1710 MHz (Gaming mode),1920,NULL,6GB,GDDR6,192-Bit,160W
"1,250.00",GeForce RTX 2080 SUPER,OC mode: 1680 MHzGaming mode: 1650 MHz,OC mode: 1860 MHzGaming mode: 1830 MHz,3072,NULL,8GB,GDDR6,256-Bit,250W
472.44,GeForce RTX 2060 SUPER,NULL,1680 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
89.99,GeForce GT 710,954 MHz,NULL,192,NULL,2GB,GDDR5,64-Bit,NULL
257.99,GeForce GTX 1660 SUPER,NULL,1830 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
499.99,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
719.99,GeForce RTX 2060 SUPER,NULL,1695 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
784.99,GeForce RTX 2070 SUPER,NULL,1770 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
"1,175.00",GeForce RTX 2080 SUPER,NULL,1845 MHz,3072,NULL,8GB,GDDR6,256-Bit,250W
749.49,GeForce RTX 2060 SUPER,NULL,1680 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
380.35,GeForce RTX 2060,NULL,1680 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
64.20,GeForce GT 710,954 MHz,NULL,192,NULL,2GB,GDDR5,64-Bit,20W
299.00,GeForce GTX 950,1127 MHz,1317 MHz,768,NULL,2GB,GDDR5,128-Bit,90W
170.49,GeForce GTX 1650,NULL,1620 MHz,896,NULL,4GB,GDDR6,128-Bit,75W
535.00,GeForce GTX 980 Ti,1000 MHz,1076 MHz,2816,NULL,6GB,GDDR5,384-Bit,260W
297.88,GeForce GTX 1660 Ti,NULL,1830 MHz,1536,NULL,6GB,GDDR6,192-Bit,120W
61.20,GeForce GT 710,954 MHz,NULL,192,NULL,2GB,DDR3,64-Bit,20W
649.99,GeForce RTX 2060 SUPER,OC Mode: 1500 MHzGaming Mode (Default): 1470 MHz,OC Mode: 1680 MHzGaming Mode (Default): 1650 MHz,2176,NULL,8GB,GDDR6,256-Bit,215W
295.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204.44,GeForce GTX 1650 SUPER,1530 MHz,OC Mode: 1770 MHzGaming Mode (Default): 1740 MHz,1280,NULL,4GB,GDDR6,128-Bit,100W
119.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202.97,GeForce GTX 1650 SUPER,NULL,1755 MHz,1280,NULL,4GB,GDDR6,128-Bit,100W
339.00,GeForce GTX 1060,1594 MHz (OC)1569 MHz (Gaming)1506 MHz (Silent),1809 MHz (OC)1784 MHz (Gaming)1708 MHz (Silent),1152,NULL,3GB,GDDR5,192-Bit,120W
155.29,GeForce GTX 1050 Ti,1290 MHz,1392 MHz,768,NULL,4GB,GDDR5,128-Bit,75W
849.00,GeForce RTX 2080 SUPER,1860 MHz,NULL,3072,NULL,8GB,GDDR6,256-Bit,250W
349.99,GeForce GTX 1080,1683 MHz,1822 MHz,2560,NULL,8GB,GDDR5X,256-Bit,230W
453.50,GeForce GTX 1660 Ti,1800 MHz,NULL,1536,NULL,6GB,GDDR6,192-Bit,120W
399.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180.49,GeForce GTX 1650,NULL,1860 MHz,896,NULL,4GB,GDDR5,128-Bit,85W
149.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344.46,GeForce GTX 1660,OC Mode: 1560 MHzGaming Mode: 1530 MHz,OC Mode: 1815 MHz Gaming Mode: 1785 MHz,1408,NULL,6GB,GDDR5,192-Bit,120W
270.22,GeForce GTX 1650,1485 MHz,OC Mode: 1710 MHzGaming Mode: 1680 MHz,896,NULL,4GB,GDDR5,128-Bit,85W
186.61,GeForce GTX 1650 SUPER,1530 MHz,OC Mode: 1770 MHzGaming Mode (Default): 1740 MHz,1280,NULL,4GB,GDDR6,128-Bit,100W
97.18,GeForce GT 1030,1265 MHz,1518 MHz,384,NULL,2GB,GDDR5,64-Bit,30W
569.00,GeForce GTX 980 Ti,1190 MHz (OC)1140 MHz (Gaming)1000 MHz (Silent),1291 MHz (OC)1228 MHz (Gaming)1076 MHz (Silent),NULL,2816 Stream Processors,6GB,GDDR5,384-Bit,260W
79.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92.56,GeForce GT 1030,1227 MHz,1468 MHz,384,NULL,2GB,GDDR5,64-Bit,30W
264.80,GeForce GTX 1650,1485 MHz,OC Mode: 1695 MHzGaming Mode: 1665 MHz,896,NULL,4GB,GDDR5,128-Bit,75W
620.00,GeForce GTX 1070,1506 MHz,1683 MHz,1920,NULL,8GB,GDDR5,256-Bit,150W
261.44,GeForce GTX 1660 SUPER,NULL,1845 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
96.64,GeForce GT 1030,1252 MHz in OC Mode1227 MHz in Gaming Mode,1506 MHz in OC Mode1468 MHz in Gaming Mode,NULL,384 Stream Processors,2GB,GDDR5,64-Bit,30W
449.00,GeForce GTX 970,1088 MHz,1228 MHz,1664,NULL,4GB,GDDR5,256-Bit,170W
255.44,GeForce GTX 1660 SUPER,NULL,1785 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
177.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176.00,GeForce GTX 1650,NULL,1695 MHz,896,NULL,4GB,GDDR5,128-Bit,75W
559.96,GeForce RTX 2060,Gaming Mode: 1365 MHz,OC Mode: 1710 MHzGaming Mode: 1680 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
